,Author,Publication Year,Title,DOI
324,"Hegde, Shwetha; Nanayakkara, Shanika; Cox, Stephen; Vasa, Rajesh; Gao, Jinlong",2024,Australian dentists' knowledge of the consequences of interpretive errors in dental radiographs and potential mitigation measures,10.1002/cre2.70027
624,"Rodríguez, Andrés; Mendoza, Deibie; Ascuntar, Johana; Jaimes, Fabián",2021,Supervised classification techniques for prediction of mortality in adult patients with sepsis,10.1016/j.ajem.2020.09.013
359,"Cappelli, M.; Ambi, F.; Botta, E.; Cruz, J.; Diaz, J.; Chen, Z.; Dwojewski, D.; Giacchini, M.; Gutierrez, V.; Lorenzo, R.; Montis, M.; Sousa, J.; Ibarra, A.",2025,"Advancements in central control for IFMIF-DONES: Integrating CODAC, MPS, and SCS into a unified control framework",10.1016/j.fusengdes.2025.115345
516,"Tariq, Zeeshan; Abu-Al-Saud, Moataz O.; Mahmoud, Mohamed; Zhu, Chen; Sun, Shuyu; Yan, Bicheng",2025,Fast tracking of safe CO2 trapping indices using machine learning for smarter reservoir management,10.1016/j.petlm.2025.01.002
142,"Mulero-Palencia, Sofia; Alvarez-Diaz, Sonia; Andres-Chicote, Manuel",2021,Machine learning for the improvement of deep renovation building projects using as-built BIM models,10.3390/su13126576
169,"Han, Hua; Gao, Jiaqing; Gu, Bo; Ren, Zhengxiong",2025,Comprehensive study on building chiller fault feature and diagnosis using hybrid CNN,10.1080/23744731.2024.2402200
25,"Nasir, K. M. Zaheen; Chakma, Tanaya",2025,Constitutive modeling of anisotropic plasticity with ML algorithms in metals,10.1080/00295450.2024.2410620
4,"Qi, Ben; Xiao, Xingyu; Liang, Jingang; Po, Li-chi Cliff; Zhang, Liguo; Tong, Jiejuan",2022,An open time-series simulated dataset covering various accidents for nuclear power plants,10.1038/s41597-022-01879-1
327,"McCradden, Melissa D.; Joshi, Shalmali; Anderson, James A.; Mazwi, Mjaye; Goldenberg, Anna; Shaul, Randi Zlotnik",2020,Patient safety and quality improvement: Ethical principles for a regulatory approach to bias in healthcare machine learning,10.1093/jamia/ocaa085
445,"Ding, Shukai; Qu, Jian",2022,A study on safety driving of intelligent vehicles based on attention mechanisms,10.37936/ecti-cit.2022164.248674
524,"Bücker, Michael; Hoti, Kreshnik; Rose, Olaf",2024,Artificial intelligence to assist decision-making on pharmacotherapy: A feasibility study,10.1016/j.rcsop.2024.100491
221,"Rahbari, Dadmehr; Ahmed, Foisal; Jenihhin, Maksim; Alam, Muhammad Mahtab; Le Moullec, Yannick",2024,Reliability-critical computation offloading in UAV swarms,10.1109/JSYST.2024.3432449
537,"Komorowski, Matthieu; Celi, Leo A.; Badawi, Omar; Gordon, Anthony C.; Faisal, A. Aldo",2018,The Artificial Intelligence Clinician learns optimal treatment strategies for sepsis in intensive care,10.1038/s41591-018-0213-5
598,"Park, Jeong Ho; Kim, Yushin; Lee, Kwang Jae; Yoon, Yong Soon; Kang, Si Hyun; Kim, Heesang; Park, Hyung Soon",2019,Artificial neural network learns clinical assessment of spasticity in modified ashworth scale,10.1016/j.apmr.2019.03.016
518,"Pasta, Gilda; Frassanito, Luciano; Calabria, Mariangela; Vassalli, Francesco; Belli, Andrea; Torricella, Giulia; Cuomo, Arturo; Bifulco, Francesca",2025,Personalized predictive hemodynamic management for major oncologic surgery: effect of progressive implementation of monitoring of digital medical devices with artificial intelligence-based algorithms,10.23736/S0375-9393.25.18937-2
307,"Wilson, F. Perry; Yamamoto, Yu; Martin, Melissa; Coronel-Moreno, Claudia; Li, Fan; Cheng, Chao; Aklilu, Abinet; Ghazi, Lama; Greenberg, Jason H.; Latham, Stephen; Melchinger, Hannah; Mansour, Sherry G.; Moledina, Dennis G.; Parikh, Chirag R.; Partridge, Caitlin; Testani, Jeffrey M.; Ugwuowo, Ugochukwu",2023,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,10.1038/s41467-023-38532-3
233,"Lalithadevi, B.; Krishnaveni, S.",2025,ExAIRFC-GSDC: An advanced machine learning-based interpretable framework for accurate gas leakage detection and classification,10.1007/s44196-025-00742-6
227,"Ananias, Estevao; Gaspar, Pedro D.; Soares, Vasco N. G. J.; Caldeira, Joao M. L. P.",2021,Artificial intelligence decision support system based on artificial neural networks to predict the commercialization time by the evolution of peach quality,10.3390/electronics10192394
487,"Baruah, Arindam; Borkar, Hemant",2023,Optimised machine learning classification model to detect void formations in friction stir welding,10.1016/j.matpr.2023.03.386
561,"Tran, Zachary; Zhang, Wenhao; Verma, Arjun; Cook, Alan; Kim, Dennis; Burruss, Sigrid; Ramezani, Ramin; Benharash, Peyman",2022,"The derivation of an International Classification of Diseases, Tenth Revision -based trauma-related mortality model using machine learning",10.1097/TA.0000000000003416
392,"Bulstra, Anne Eva J.; Buijze, Geert A.; Cohen, Abigail; Colaris, Joost W.; Court-Brown, Charles M.; Doornberg, Job N.; Duckworth, Andrew D.; Goslings, Carel (J C.).; Gray, Alasdair; Hendrickx, Laurent A.M.; Jaarsma, Ruurd L.; Mallee, Wouter H.; Mulders, Marjolein A.M.; McQueen, Margaret M.; Moran, Matthew; Obdeijn, Miryam C.; Kerkhoffs, Gino M.M.J.; Ring, David; Schep, Niels W.L.; Walenkamp, Monique M.J.",2022,A machine learning algorithm to estimate the probability of a true scaphoid fracture after wrist trauma,10.1016/j.jhsa.2022.02.023
437,"Liu, Qinming; Chen, Huan; Chen, Jianing; Wang, Yujie",2025,Cross model fusion-based fault diagnosis for equipment considering multi-source signal fusion with small samples based on deep transfer learning,10.1016/j.measurement.2025.118203
23,"Li, Xinpeng; Song, Jiayue; Yang, Li; Li, Huanting; Fang, Sheng",2024,"Source term inversion coupling kernel principal component analysis, whale optimization algorithm, and backpropagation neural networks (KPCA-WOA-BPNN) for complex dispersion scenarios",10.1016/j.pnucene.2024.105171
582,"Iivanainen, Sanna; Ravichandra, Ravi; Jekunen, Antti; Arokoski, Reetta; Mentu, Santeri; Lang, Laura; Ekström, Jussi; Virtanen, Henri; Kataja, Vesa; Koivunen, Jussi P.",2023,ePRO symptom follow-up of colorectal cancer patients receiving oxaliplatin-based adjuvant chemotherapy is feasible and enhances the quality of patient care: a prospective multicenter study,10.1007/s00432-023-04622-4
